site,species_number,site_lat,site_long,measure_time_begin,measure_time_end
AUS_RIC_EUC_ELE,1,-33.61777778,150.7402778,2012,2014
AUS_WOM,2,-37.4222,144.0944,2012,2015
AUT_TSC,1,47.23333333,10.83888889,2012,2012
CAN_TUR_P39_POS,1,42.70977778,-80.3574,2012,2016
CAN_TUR_P39_PRE,1,42.70977778,-80.3574,2009,2011
CAN_TUR_P74,1,42.70681111,-80.34831389,2011,2016
CHE_DAV_SEE,1,46.81668,9.856198,2009,2010
CHE_PFY_CON,1,46.3,7.6,2013,2014
CHE_PFY_IRR,1,46.3,7.6,2013,2014
CZE_BIK,1,49.49444444,18.53,2016,2016
CZE_LAN,3,48.68166667,16.94638889,2016,2016
CZE_LIZ_LES,1,49.06668,13.67975,2007,2009
CZE_STI,1,49.03583333,17.97,2016,2016
DEU_STE_4P5,1,53.1,13,2004,2005
ESP_ALT_ARM,3,40.7769,-2.3283,2009,2014
ESP_ALT_HUE,2,40.7925,-2.2872,2009,2013
ESP_CAN,4,41.43098889,2.073611111,2011,2012
ESP_TIL_MIX,2,41.33262995,1.0144288,2010,2013
ESP_TIL_OAK,1,41.33262416,1.01409989,2010,2011
ESP_TIL_PIN,1,41.328113,1.006642,2010,2011
ESP_VAL_BAR,1,42.20293333,1.820486111,2003,2005
ESP_VAL_SOR,1,42.19605278,1.8135611,2003,2005
FIN_PET,1,69.49182203,27.23108229,2008,2008
FRA_PUE,1,43.74138889,3.595833333,1999,2015
GBR_ABE_PLO,1,56.616,-3.8,2001,2001
GBR_DEV_CON,1,56.03333,-3.716667,1995,1995
GBR_DEV_DRO,1,56.03333,-3.716667,1995,1995
GBR_GUI_ST1,1,57.266667,-4.816667,2003,2003
GBR_GUI_ST2,1,57.266667,-4.816667,2003,2003
GBR_GUI_ST3,1,57.266667,-4.816667,2003,2003
GUF_GUY_GUY,6,5.278772,-52.924863,2014,2016
GUF_GUY_ST2,7,5.281666667,-52.91222222,2008,2009
IDN_JAM_OIL,1,-2.0708889,102.7918333,2013,2013
IDN_JAM_RUB,1,-2.095278,102.783222,2013,2014
IDN_PON_STE,8,-1.494,120.057,2007,2008
ISR_YAT_YAT,1,31.34499931,35.05149841,2009,2015
ITA_FEI_S17,1,46.69352,10.61287,2013,2014
ITA_KAE_S20,1,46.69767,10.60717,2012,2014
ITA_MAT_S21,2,46.74,10.69086111,2012,2014
ITA_MUN,1,46.67772,10.57808,2012,2014
ITA_RUN_N20,2,46.69865,10.64222,2012,2014
ITA_TOR,1,45.82376,7.56089,2015,2016
NZL_HUA_HUA,1,-36.7958,174.4903,2011,2015
RUS_POG_VAR,3,56.36,92.95,2015,2016
SWE_NOR_ST1_BEF,2,60.086,17.48,2007,2008
SWE_NOR_ST2,2,60.086,17.48,2001,2001
SWE_NOR_ST3,2,60.086,17.48,2002,2007
SWE_NOR_ST4_AFT,3,60.083,17.476,1999,2000
SWE_NOR_ST4_BEF,2,60.083,17.476,1998,1998
SWE_NOR_ST5_REF,3,60.083,17.476,1998,2000
THA_KHU,1,15.273,103.081,2006,2008
USA_DUK_HAR,6,36.978175,-79.09419083,2002,2005
USA_HIL_HF1_POS,5,36.2173212,-78.86417865,2011,2016
USA_HIL_HF1_PRE,5,36.2173212,-78.86417865,2010,2011
USA_HIL_HF2,7,36.21747661,-78.86399373,2010,2016
USA_HUY_LIN_NON,1,42.52753056,-74.15720278,2017,2017
USA_INM,6,39.323228,-86.413239,1998,1999
USA_MOR_SF,4,39.323011,-86.413321,2011,2013
USA_PAR_FER,1,35.80311111,-76.66791667,2007,2011
USA_PJS_P04_AMB,2,34.38638889,-106.5294444,2009,2015
USA_PJS_P08_AMB,2,34.38638889,-106.5294444,2009,2015
USA_PJS_P12_AMB,2,34.38638889,-106.5294444,2007,2013
USA_SIL_OAK_1PR,4,39.91563056,-74.59555556,2009,2010
USA_SIL_OAK_2PR,4,39.91563056,-74.59555556,2005,2008
USA_SYL_HL2,4,46.24201667,-89.34765,2015,2017
USA_TNB,4,36.471197,-84.704072,1998,1999
USA_TNO,5,35.966,-84.281866,1998,1999
USA_TNP,5,35.96041,-84.287933,1998,2000
USA_TNY,3,35.687635,-83.501202,1998,1999
USA_UMB_CON,5,45.55972222,-84.71333333,2010,2016
USA_UMB_GIR,4,45.5625,-84.6975,2010,2016
USA_WIL_WC1,5,45.81305556,-90.08666667,2000,2001
USA_WVF,5,39.058867,-79.690668,1998,1999
ZAF_NOO_E3_IRR,1,-33.20099167,19.33751667,2008,2010
ZAF_SOU_SOU,1,-34.087,19.0933,2015,2016
